Person Name,Beer,Food,
Bettie Reid,Brewhouse Blonde,Clam chowder,
Harriet Lawson,Scape Goat Pale Ale,Corn chowder,
Kenneth Yates,Irish Red,Italian-American cuisine,
Michael Pearson,Belgian Wit,Slinger,
Iva Hudson,La Folie,Russian tea cake,
Christina Carlson,Oak-Aged Belgian Tripel,Bear claw,
Bradley Lucas,Bourbon County Stout 2007,Carolina style,
Allen Fields,Warm Welcome Nut Browned Ale,Macaroni salad,
Marvin Hines,Pillar Point Pale Ale,Hot chicken sandwich,
Jeanette Goodwin,Certified Organic Extra Pale Ale,Steak sandwich,
Kenneth Yates,Blue Dot Double India Pale Ale,Carolina style,
Viola Parsons,Cascade Amber,Deviled crab,
Jacob Holt,Aventinus Weizen-Eisbock,Pickled cucumber,
Chris Ramirez,NÃ¸gne Ã˜ Imperial Stout,Celery Victor,
Leila Barrett,Nutty Brewnette,Mulligan stew,
Richard Byrd,Brunette Nut Brown Ale,Tuna casserole,
Catherine Love,Oktoberfest Weizen,White chocolate,
Maude Santos,Wayan,Corn relish,
Lina McCarthy,Flemish Primitive Wild Ale (Demon Fish),Rabbit pie,
Matthew Jennings,Abbey Belgian Style Ale,Grits,
Georgie Roberts,Zoetzuur Flemish Ale,Sandwich,
Kate Ball,Cardinal Pale Ale,Sloppy joe,
Eula Ramsey,Bitter,Pork and beans,
Earl Garner,Grotten Flemish Ale,Potatoes O'Brien,
Lewis Roy,Stouterik / The Brussels Stout,Milk toast,
Juan Gordon,Quelque Chose,Lobster roll,
Lillie Cooper,Oro de Calabaza,Pop-Tarts,
Elijah Simpson,Golden Ale,Fortune cookie,
Tillie Rodgers,Bigfoot 2001,Ribs,
Edith Bates,Mothership Wit,Chicken sandwich,
Callie Higgins,CuvÃ©e des Champions 2003-2004,Garden salad,
Ralph Green,Framboise,Goulash,
Lola Guzman,JuJu Ginger,Potato skins,
Luke Castro,Moose Drool Brown Ale,Muffuletta,
Wayne Cox,Warm Welcome Nut Browned Ale,Deviled crab,
Abbie Hill,Sandbagger Gold,Italian dressing,
Cecelia Fuller,Super,Hamburger,
Todd Nunez,Seriously Bad Elf,Popover,
Alice Delgado,Crystal Ale,German chocolate cake,
Jason Carter,Export Ale,Chicken parmigiana,
Fanny Hanson,La Folie Falling Rock,Fried chicken,
Beulah Owens,Lager,Pumpkin pie,
